ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-12-18,220.01272278266333,227.46418333003254,248.0948397674666,220.01272278266333,220.01272278266333,17.184819572091612,17.184819572091612,17.184819572091612,2.121921879975342,2.121921879975342,2.121921879975342,15.062897692116268,15.062897692116268,15.062897692116268,0.0,0.0,0.0,237.19754235475494
2024-12-19,220.07451332000412,226.2776544865458,246.54475117817125,220.07451332000412,220.07451332000412,16.913982371506453,16.913982371506453,16.913982371506453,1.9508534961557356,1.9508534961557356,1.9508534961557356,14.963128875350717,14.963128875350717,14.963128875350717,0.0,0.0,0.0,236.98849569151056
2024-12-20,220.13630385734493,226.49822277480774,247.41798160554885,220.13630385734493,220.13630385734493,16.95313581231674,16.95313581231674,16.95313581231674,2.1298425550936213,2.1298425550936213,2.1298425550936213,14.82329325722312,14.82329325722312,14.82329325722312,0.0,0.0,0.0,237.08943966966166
2024-12-23,220.3216754693674,226.39233841365927,246.36451569156836,220.3216754693674,220.3216754693674,16.514951731194596,16.514951731194596,16.514951731194596,2.3436084783220887,2.3436084783220887,2.3436084783220887,14.171343252872509,14.171343252872509,14.171343252872509,0.0,0.0,0.0,236.836627200562
2024-12-24,220.3834660067082,226.04727711089683,246.61818506917774,220.3834660067082,220.3834660067082,16.13402519774023,16.13402519774023,16.13402519774023,2.253330457583035,2.253330457583035,2.253330457583035,13.880694740157196,13.880694740157196,13.880694740157196,0.0,0.0,0.0,236.51749120444845
2024-12-26,220.50704708138983,225.6751051455224,247.0712290120837,220.50704708138983,220.50704708138983,15.150775560515042,15.150775560515042,15.150775560515042,1.9508534961612238,1.9508534961612238,1.9508534961612238,13.199922064353819,13.199922064353819,13.199922064353819,0.0,0.0,0.0,235.65782264190486
2024-12-27,220.56883761873064,225.9454513778605,245.64693070925657,220.56883761873064,220.56883761873064,14.944125175997138,14.944125175997138,14.944125175997138,2.1298425550825675,2.1298425550825675,2.1298425550825675,12.81428262091457,12.81428262091457,12.81428262091457,0.0,0.0,0.0,235.51296279472777
2024-12-30,220.7542092307531,224.18916531965448,245.21055942376742,220.7542092307531,220.7542092307531,13.85233347882687,13.85233347882687,13.85233347882687,2.343608478321834,2.343608478321834,2.343608478321834,11.508725000505036,11.508725000505036,11.508725000505036,0.0,0.0,0.0,234.60654270957997
2024-12-31,220.8159997680939,223.9782091289124,244.81314783186195,220.8159997680939,220.8159997680939,13.287720971294666,13.287720971294666,13.287720971294666,2.253330457583868,2.253330457583868,2.253330457583868,11.0343905137108,11.0343905137108,11.0343905137108,0.0,0.0,0.0,234.10372073938856
2025-01-02,220.93958084277554,222.70388203713915,242.87263149306162,220.93958084277554,220.93958084277554,11.998812917224445,11.998812917224445,11.998812917224445,1.9508534961602153,1.9508534961602153,1.9508534961602153,10.04795942106423,10.04795942106423,10.04795942106423,0.0,0.0,0.0,232.93839376
